"Titel";"ISBN";"Verfasser";"PPN";"Jahr"
"Wochenend und Sonnenschein : neun Schlager der Zwanzigerjahre für gemischten Chor und Klavier";"";"hrsg. und bearb. von Walther Engel...";"1180702956";"2000";
"Mir geht's gut! : neun Schlager der Zwanzigerjahre für gemischten Chor und Klavier";"";"hrsg. und bearb. von Walther Engel ...";"1180703030";"2000";
"Langenscheidts Schulwörterbuch Englisch : englisch-deutsch, deutsch-englisch; [neu mit Info-Fenstern]";"3-468-13212-3";"[bearb. von Holger Freese ...]";"1614207380";"2000";
"¬Die¬ neue virtuelle MIDI/Audio Technik : so wird Ihr PC zum professionellen Musikstudio";"3826604881";"Gregor Zielinsky";"303760680";"2000";
"Lift off to conversation. - [Hauptbd.].";"3810921475";"";"1156864232";"2000";
"Amerikanische Holzkirchen : eine Hommage";"3829036043";"mit einer Einleitung von Rick Bragg";"324758510";"2000";
"Advanced language practice : [with key; proficiency and CAE grammar explanation and practice exercises; advanced vocabulary and language in context; focus on problem areas in language and style]";"0435241249";"Michael Vince";"161509007X";"2000";
"Lollipop Sprach-Sach-Buch. - 2, Schulerbuch.";"3464612651";"";"1161580506";"2000";
"Ethik : Sekundarstufe I. - 5/6 Arbeitsheft.";"3464601900";"";"1162024348";"2000";
"¬Die¬ versteckte Gruppe : ein jüdischer Lehrer erinnert sich an Deutschland";"3889811221";"Jizchak Schwersenz";"312089201";"2000";
"Leporello. - 1, Lehrerband.";"3-14-190061-2";"";"1166016641";"2000";
"Wirtschaft plus : Wirtschaftslehre mit Informatik; ... Klasse. - 7, [Hauptbd.].";"3582076113";"";"1166086399";"2000";
"Bli-bla-blu : Reime, Verse und Lieder, die bei Kindern Freude am schönen Sprechen wecken wollen";"3880690618";"Alfred Baur. Mit 24 Melodien von Erwin Schaller";"1601357125";"2000";
"Geschichten erzählen : [Themenhefte für die ... Klasse]. - 4, Themenhefte für die vierte Klasse der HS und AH ; [2]. So lebten die Menschen in der Welt nach 1945";"3-215-12645-1";"";"1173671110";"2000";
"More audio activities for teens : intermediate level; complete recordings of songs, monologues, dialogues and folklore with photocopiable activity pages for learning English. - [book].";"3125070562";"Linda Northrup";"1190191725";"2000";
"Spielplatz - Sieben Theaterstücke für die Allerkleinsten. - 13";"388661221X";"von Roberto Frabetti...";"133257873X";"2000";
"¬La¬ formation des enseignant(e)s primaires : histoire et réformes actuelles = Die Ausbildung von PrimarlehrerInnen";"3906765172";"sous la direction de Lucien Criblez & Rita Hofstetter. Avec la collaboration de Danièle Périsset Bagnoud";"312064675";"2000";
"Orientierung durch Selbstorganisation";"3928244582";"Tutzinger Stiftung zur Förderung der Umweltbildung. Hrsg.: Karl-Horst Dieckhoff; Jürgen Roth";"1610408888";"2000";
"Sein erster Fisch";"3-87294-852-0";"Hermann Schulz. Mit Bildern von Wiebke Oeser";"161074764X";"2000";
"Lollipop Mathematik. - 1, [Schülerband]. 1. Aufl., 1. Dr";"3464513017";"";"1155425502";"2000";
"Lollipop Mathematik. - 1, Arbeitsheft. Schulausgangsschrift";"3464513416";"";"1155425707";"2000";
"Maßstab : Mathematik Hauptschule. - 7, [Schülerband].";"3507844036";"";"1156507707";"2000";
"Hexentanz und Zauberkraut : ein Hexen-Spiel- und Sachbuch";"";"Sylvia Näger; Sabine Wiemers";"1612844588";"2000";
"Europa ohne Grenzen?";"3896841009";"[Dieses Heft ist entstanden in einer Gemeinsamen Arbeitsgruppe des Bulgarischen Deutschlehrerverbandes und der Körber-Stiftung. Bodo von Borries .Ì¤]";"313124647";"2000";
"Nation - Einheit oder Vielfalt?";"3896841025";"[dieses Heft ist entstanden in einer gemeinsamen Arbeitsgruppe des Bulgarischen Deutschlehrerverbandes und der Körber-Stiftung. Autorin: Gudula Mebus]";"313124507";"2000";
"How languages are learned";"0194370003";"Patsy M. Lightbown and Nina Spada";"267973969";"2000";
"Audio activities for teens : lower intermediate level; complete recordings of songs, monologues, dialogues and folklore with photocopiable activity pages for learning English. - [book].";"3125070546";"Linda Northrup";"1159612099";"2000";
"Betriebliche Erfahrung im pädagogischen Kontext : neue Wege und Konzepte zur Nutzung der Erfahrung älterer Menschen im Betrieb";"";"vorgelegt von Martina Sailer";"1616052104";"2000";
"Zärtlichkeit";"3794146433";"Robert Cormier. Aus dem amerikan. Engl. von Cornelia Krutz-Arnold";"305826506";"2000";
"Vom Waschen";"3-06-030740-7";"[Autor: Volkmar Dietrich]";"1616060336";"2000";
"Berufsbildung zwischen innovativer Programmatik und offener Umsetzung. - 15. Moderate Modularisierung - eine nationale und internationale Differenzierungsstrategie?";"376390171X";"Detlef Buschfeld (Hrsg.)";"1163108189";"2000";
"Keine Angst vor Prüfungsangst : Strategien für die optimale Prüfungsvorbereitung im Studium";"3821814969";"Helga Knigge-Illner";"1620273691";"2000";
